Source,Destination,Poids,Path
Esplanade de La Défense,La Défense,1578,Esplanade de La Défense - La Défense
Esplanade de La Défense,Pont de Neuilly,4648,Esplanade de La Défense - Pont de Neuilly
Pont de Neuilly,Les Sablons,7589,Pont de Neuilly - Les Sablons
Les Sablons,Porte Maillot,10638,Les Sablons - Porte Maillot
Porte Maillot,Argentine,13636,Porte Maillot - Argentine
Argentine,Charles de Gaulle - Étoile,16511,Argentine - Charles de Gaulle - Étoile
Charles de Gaulle - Étoile,George V,18142,Charles de Gaulle - Étoile - George V
Charles de Gaulle - Étoile,Victor Hugo,11733,Charles de Gaulle - Étoile - Victor Hugo
Charles de Gaulle - Étoile,Ternes,13076,Charles de Gaulle - Étoile - Ternes
Charles de Gaulle - Étoile,Place d'Italie,36709,Charles de Gaulle - Étoile - Place d'Italie
Charles de Gaulle - Étoile,Kléber,19851,Charles de Gaulle - Étoile - Kléber
George V,Franklin D. Roosevelt,18042,George V - Franklin D. Roosevelt
Franklin D. Roosevelt,Champs-Élysées - Clemenceau,26387,Franklin D. Roosevelt - Champs-Élysées - Clemenceau
Franklin D. Roosevelt,Alma - Marceau,13569,Franklin D. Roosevelt - Alma - Marceau
Franklin D. Roosevelt,Saint-Philippe du Roule,6206,Franklin D. Roosevelt - Saint-Philippe du Roule
Champs-Élysées - Clemenceau,Concorde,11191,Champs-Élysées - Clemenceau - Concorde
Champs-Élysées - Clemenceau,Miromesnil,10502,Champs-Élysées - Clemenceau - Miromesnil
Champs-Élysées - Clemenceau,Invalides,7740,Champs-Élysées - Clemenceau - Invalides
Concorde,Tuileries,2796,Concorde - Tuileries
Concorde,Invalides,34198,Concorde - Invalides
Concorde,Madeleine,48458,Concorde - Madeleine
Concorde,Assemblée nationale,8428,Concorde - Assemblée nationale
Tuileries,Palais-Royal - Musée du Louvre,2069,Tuileries - Palais-Royal - Musée du Louvre
Palais-Royal - Musée du Louvre,Louvre - Rivoli,2324,Palais-Royal - Musée du Louvre - Louvre - Rivoli
Palais-Royal - Musée du Louvre,Pyramides,1700,Palais-Royal - Musée du Louvre - Pyramides
Palais-Royal - Musée du Louvre,Pont-Neuf,617,Palais-Royal - Musée du Louvre - Pont-Neuf
Louvre - Rivoli,Châtelet,3348,Louvre - Rivoli - Châtelet
Châtelet,Hôtel de Ville,22189,Châtelet - Hôtel de Ville
Châtelet,Les Halles,11430,Châtelet - Les Halles
Châtelet,Cité,30030,Châtelet - Cité
Châtelet,Pont-Neuf,1001,Châtelet - Pont-Neuf
Châtelet,Pont Marie,4078,Châtelet - Pont Marie
Châtelet,Gare d'Austerlitz,31451,Châtelet - Gare d'Austerlitz
Châtelet,Pyramides,55652,Châtelet - Pyramides
Châtelet,Gare de Lyon,72713,Châtelet - Gare de Lyon
Hôtel de Ville,Saint-Paul,1326,Hôtel de Ville - Saint-Paul
Hôtel de Ville,Rambuteau,19919,Hôtel de Ville - Rambuteau
Saint-Paul,Bastille,627,Saint-Paul - Bastille
Bastille,Gare de Lyon,14787,Bastille - Gare de Lyon
Bastille,Bréguet - Sabin,10313,Bastille - Bréguet - Sabin
Bastille,Quai de la Rapée,4881,Bastille - Quai de la Rapée
Bastille,Chemin Vert,4233,Bastille - Chemin Vert
Bastille,Ledru-Rollin,2067,Bastille - Ledru-Rollin
Gare de Lyon,Reuilly - Diderot,48431,Gare de Lyon - Reuilly - Diderot
Gare de Lyon,Bercy,33003,Gare de Lyon - Bercy
Reuilly - Diderot,Nation,45775,Reuilly - Diderot - Nation
Reuilly - Diderot,Faidherbe - Chaligny,1774,Reuilly - Diderot - Faidherbe - Chaligny
Reuilly - Diderot,Montgallet,2205,Reuilly - Diderot - Montgallet
Nation,Porte de Vincennes,12712,Nation - Porte de Vincennes
Nation,Avron,24424,Nation - Avron
Nation,Pont de Levallois - Bécon,10031,Nation - Pont de Levallois - Bécon
Nation,Picpus,10942,Nation - Picpus
Nation,La Courneuve - 8 Mai 1945,16846,Nation - La Courneuve - 8 Mai 1945
Nation,Rue des Boulets,7660,Nation - Rue des Boulets
Nation,Buzenval,25851,Nation - Buzenval
Porte de Vincennes,Saint-Mandé,10565,Porte de Vincennes - Saint-Mandé
Saint-Mandé,Bérault,9014,Saint-Mandé - Bérault
Bérault,Château de Vincennes,8286,Bérault - Château de Vincennes
Château de Vincennes,Porte Dauphine,8603,Château de Vincennes - Porte Dauphine
Porte Dauphine,Victor Hugo,9763,Porte Dauphine - Victor Hugo
Ternes,Courcelles,11579,Ternes - Courcelles
Courcelles,Monceau,11101,Courcelles - Monceau
Monceau,Villiers,11816,Monceau - Villiers
Villiers,Rome,11041,Villiers - Rome
Villiers,Malesherbes,8461,Villiers - Malesherbes
Villiers,Europe,9668,Villiers - Europe
Rome,Place de Clichy,10360,Rome - Place de Clichy
Place de Clichy,Blanche,27522,Place de Clichy - Blanche
Place de Clichy,La Fourche,10577,Place de Clichy - La Fourche
